cell_line,replicate,dna_count,rna_count,rna_dna_ratio,log2,n_obs_bc,sequence_name
HepG2,1,0.130478662809918,0.0658237087744423,0.504478719791408,-0.98713468085586,84,sylphic_jazzy_redhead
HepG2,1,0.2583830168671,0.287974824530387,1.11452690669104,0.15643144628017,147,allied_antique_cooter
HepG2,1,0.116416885900722,0.311480231922149,2.6755588719988,1.41984027381174,156,newborn_topazine_wasp
HepG2,1,0.154917523463204,0.0823827432812961,0.531784535665285,-0.911086270763224,83,milky_heavy_cougar
HepG2,2,0.257900618623768,0.284634007146753,1.10365771383427,0.142292806970005,150,allied_antique_cooter
HepG2,2,0.124530924713221,0.329976769038739,2.64975763890482,1.40586040905689,157,newborn_topazine_wasp
HepG2,2,0.149885558969237,0.0907214926598216,0.605271737208796,-0.724345108023405,84,milky_heavy_cougar
HepG2,2,0.121682990791093,0.0585370579009511,0.481061958786404,-1.0557053757834,85,sylphic_jazzy_redhead
HepG2,3,0.118400903188239,0.322594718896955,2.72459677426682,1.44604273454641,157,newborn_topazine_wasp
HepG2,3,0.156770269719619,0.0796095210910349,0.50781006649676,-0.977639100569513,82,milky_heavy_cougar
HepG2,3,0.260962785306361,0.273665714101654,1.04867716590463,0.0685706142054137,146,allied_antique_cooter
HepG2,3,0.125817136335193,0.056066083582981,0.445615638823742,-1.16612823012336,86,sylphic_jazzy_redhead
K562,2,0.149650121643479,0.0909969576401207,0.60806470880731,-0.717703234856793,83,milky_heavy_cougar
K562,2,0.126975860788407,0.0740491912232925,0.583175343435463,-0.777998370859275,84,sylphic_jazzy_redhead
K562,2,0.276939581377667,0.294862545231489,1.06471795676393,0.0904713118902272,142,allied_antique_cooter
K562,2,0.120140721284269,0.468779321193397,3.90191865158028,1.9641837005033,160,newborn_topazine_wasp
K562,1,0.159615679495121,0.100077994905523,0.626993508545521,-0.673477588443247,75,milky_heavy_cougar
K562,1,0.273572973129935,0.306465947769294,1.1202347376023,0.163801070935437,140,allied_antique_cooter
K562,1,0.121611946281997,0.485980409975489,3.99615683190026,1.9986132037922,160,newborn_topazine_wasp
K562,1,0.141448041178603,0.0782303597271397,0.553067819640995,-0.854471693883948,81,sylphic_jazzy_redhead
K562,3,0.128769604993514,0.075078575450116,0.583045785174986,-0.778318915661764,83,sylphic_jazzy_redhead
K562,3,0.150820347809396,0.0991027782683717,0.657091564286908,-0.605833673900887,84,milky_heavy_cougar
K562,3,0.264723649012069,0.297547196222151,1.12399174509938,0.168631440053574,143,allied_antique_cooter
K562,3,0.119055658574456,0.468248185446858,3.93301915300414,1.97563721192964,160,newborn_topazine_wasp
WTC11,2,0.183347561982455,0.0908046462399033,0.495259632896524,-1.01374305879957,74,milky_heavy_cougar
WTC11,2,0.132102183007649,0.125028172591576,0.946450465427479,-0.0794010936094011,138,newborn_topazine_wasp
WTC11,2,0.151227596946971,0.503595797881999,3.33005223946385,1.73554480943597,81,sylphic_jazzy_redhead
WTC11,2,0.27723605129001,0.889877155372597,3.20981759490478,1.68249131529046,144,allied_antique_cooter
WTC11,1,0.152837455177524,0.0717835781712092,0.469672686501034,-1.09027239781129,81,milky_heavy_cougar
WTC11,1,0.130080592147388,0.412519552878675,3.17126133936468,1.66505677289101,82,sylphic_jazzy_redhead
WTC11,1,0.263121622801999,0.853579609156441,3.24404965303352,1.69779590144082,147,allied_antique_cooter
WTC11,1,0.135788950655272,0.12612293434514,0.928815884772015,-0.106535449249509,144,newborn_topazine_wasp
WTC11,3,0.175565737760593,0.0810124993069507,0.461436840355615,-1.11579490387771,77,milky_heavy_cougar
WTC11,3,0.27401529187837,0.870776062069363,3.17783747067621,1.6680453404682,142,allied_antique_cooter
WTC11,3,0.139119197651796,0.438648993427998,3.1530443018073,1.65674544073126,80,sylphic_jazzy_redhead
WTC11,3,0.124809728040385,0.118283388189373,0.947709686148017,-0.0774829118178375,143,newborn_topazine_wasp
