cell_line,replicate,dna_count,rna_count,rna_dna_ratio,log2,n_obs_bc,sequence_name
HepG2,2,0.139250663432617,0.476945389850806,3.42508522468619,1.77613988638044,40,grouchy_diagonal_bear
HepG2,2,0.214476148135437,0.457527390573228,2.13323203792484,1.09304090039784,76,decisive_shapely_rhea
HepG2,2,0.124717609495258,0.0798805595746857,0.640491426174447,-0.642748836573987,84,aurous_lambskin_manatee
HepG2,2,0.284960291953372,0.107962793561811,0.378869606083494,-1.40022668719017,22,brown_feudal_tick
HepG2,2,0.272817576809965,0.128716818259397,0.471805445105381,-1.08373602607429,136,kneedeep_crazy_halcyon
HepG2,2,0.233831204820514,0.251328286100609,1.07482782844798,0.10410557987287,55,godly_marshy_anchovy
HepG2,2,0.31369329436447,0.324731840010135,1.03518897548648,0.0498941581698035,91,aromatic_halite_roan
HepG2,2,0.144638294905944,0.286474934925453,1.98062992315931,0.985959340651662,160,stony_dentine_gorilla
HepG2,2,0.257900618623768,0.284634007146753,1.10365771383427,0.142292806970005,150,allied_antique_cooter
HepG2,2,0.241344653491788,1.17705387746452,4.87706630511528,2.28601358635999,65,wired_cork_doe
HepG2,2,0.179194227446927,0.347362012835149,1.93846653312552,0.954915827732562,105,roseate_shelled_caribou
HepG2,2,0.142008050898411,0.0962400268536531,0.677708244319902,-0.561263772945181,63,expected_sphene_oriole
HepG2,2,0.149452988813482,0.274211304109156,1.83476627858794,0.875596297293236,62,skilled_freaky_sunbear
HepG2,2,0.192580233342292,0.124803864745021,0.648061655025593,-0.625797020715243,29,friendly_undyed_mole
HepG2,2,0.203755633017377,0.672217466454083,3.29913561897331,1.72208808460145,42,agrarian_mopey_pig
HepG2,2,0.257483656160319,0.120494708614598,0.467970318627034,-1.0955110662059,115,trusting_lazuline_mammal
HepG2,2,0.279166007836273,0.944545867549278,3.38345586867883,1.75849757121235,81,phobic_citied_nandoo
HepG2,2,0.183723359403201,0.203695426915449,1.10870728456699,0.148878522537177,119,inhumane_cold_hake
HepG2,2,0.235872982974175,0.0972990578137975,0.412506157284027,-1.27751244094265,160,foilable_dramatic_duck
HepG2,2,0.182116194901433,0.665927357223582,3.6566070226978,1.87050558788547,51,baggy_balanced_cavy
HepG2,2,0.110122530515415,0.1125174739152,1.02174798734261,0.0310394015149756,109,baleful_bared_basenji
HepG2,2,0.234810146292187,0.215876548790791,0.919366357031964,-0.121288221239933,85,windowy_real_joey
HepG2,2,0.225716988012962,0.121563575172625,0.538566353568587,-0.892803993261674,91,nickelic_binding_owl
HepG2,2,0.1137010654403,0.0952734166101886,0.837928969629691,-0.255100141542964,89,deathly_acardiac_wombat
HepG2,2,0.188595672339391,0.189145753564345,1.00291672241537,0.00420181617308929,43,trendy_calx_sphinx
HepG2,2,0.242908939098746,0.179259437056544,0.737969700586739,-0.438366511271904,51,charming_queasy_hydra
HepG2,2,0.0853103576741902,0.323677515854258,3.79411743988249,1.92376433539511,45,dacite_fatherly_grouse
HepG2,2,0.19725199102445,0.69422727132408,3.51949436717233,1.81536817705265,20,depleted_rhyolite_nandu
HepG2,2,0.232880042034848,0.145244791115345,0.62368930306879,-0.681100579503594,76,slippery_crumbly_bats
HepG2,2,0.187486309090404,0.0895081170713454,0.477411484100344,-1.0666948241205,78,uncheery_knotty_liger
HepG2,2,0.150416440524028,0.0845266737540296,0.561951030482783,-0.831483678245005,76,unlovely_snotty_antlion
HepG2,2,0.147236066765235,0.673865426872403,4.57676873389226,2.19432939377465,71,boarish_quixotic_redpoll
HepG2,2,0.178556849605398,0.141994034370954,0.795231516935666,-0.330553159383355,143,banal_charming_duck
HepG2,2,0.180281931067893,0.251000518733908,1.39226664173784,0.47743553724556,129,cultural_lean_gonolek
HepG2,2,0.124530924713221,0.329976769038739,2.64975763890482,1.40586040905689,157,newborn_topazine_wasp
HepG2,2,0.232218689589473,0.148949198374008,0.6414177887117,-0.64066372967924,117,mucky_abasic_redhead
HepG2,2,0.127124877338053,0.0661644363564146,0.520468044822329,-0.942118505794135,178,comfy_exciting_sponge
HepG2,2,0.141642694334565,0.094004062391903,0.663670391427757,-0.591461182707531,80,dacite_culm_bilby
HepG2,2,0.158468840799974,0.129686852231883,0.818374461359122,-0.289166970631875,126,flimsy_novel_lice
HepG2,2,0.143678177234147,0.0919323805073426,0.639849295676431,-0.644195949122943,89,reserved_kneedeep_duiker
HepG2,2,0.128084023119166,0.213395209149517,1.66605642103371,0.736437258426898,44,hasty_prime_whelp
HepG2,2,0.215069205007456,0.620261750427221,2.88401005809139,1.52807619603965,36,main_kilted_saiga
HepG2,2,0.233912311724718,0.551371996367858,2.35717390120425,1.2370581977693,95,frigid_giddying_sambar
HepG2,2,0.149885558969237,0.0907214926598216,0.605271737208796,-0.724345108023405,84,milky_heavy_cougar
HepG2,2,0.104533483460228,0.0551584631519445,0.527663111628063,-0.92231096512068,66,hoggish_hennish_langur
HepG2,2,0.251496288556174,0.310485410368627,1.23455265344513,0.303988368472797,104,binding_lucid_gemsbok
HepG2,2,0.157671821772834,0.303464615608729,1.92465979143659,0.944603453296425,41,carroty_purply_fox
HepG2,2,0.150811595079374,0.0978453761281327,0.648792130848001,-0.624171773568016,102,alchemic_fumbling_marten
HepG2,2,0.237808858154062,0.286500936303132,1.20475300427003,0.268737398704025,94,catching_suffixal_hoiho
HepG2,2,0.207558226479599,0.104141072823144,0.501743894180845,-0.994976939629542,128,heroic_voltaic_antbear
HepG2,2,0.204713826211231,0.473164615265727,2.31134664435171,1.20873364430743,209,academic_lunatic_eagle
HepG2,2,0.191392329145333,0.0889395417154632,0.464697525301169,-1.10563613294218,64,nonfatal_smashed_cock
HepG2,2,0.183510911641221,0.119839245020917,0.653036072619007,-0.614765408856581,61,bleached_liquid_rhea
HepG2,2,0.229694752706103,0.67843048311431,2.95361768225663,1.56248309502332,34,nearby_ashy_esok
HepG2,2,0.121682990791093,0.0585370579009511,0.481061958786404,-1.0557053757834,85,sylphic_jazzy_redhead
HepG2,2,0.107573367681271,0.393351695334218,3.6565899517033,1.87049885259878,37,peppery_docile_prawn
HepG2,2,0.103692588506764,0.0941085255050096,0.907572343021127,-0.139915449290748,140,atomic_decayed_moose
HepG2,2,0.108268286077144,0.256630672595949,2.37032174327662,1.24508290128593,128,separate_resident_pygmy
HepG2,2,0.225270739749514,0.853202923004535,3.78745559211657,1.92122897309812,76,zippered_grownup_eyra
HepG2,2,0.112414169226928,0.140263956253182,1.24774267530309,0.319320434727068,75,teen_probable_anole
HepG2,2,0.239983742839428,0.753613693165318,3.14026977098011,1.65088850196318,48,normal_scarred_seabird
HepG2,2,0.0950533829607757,0.0703526374085485,0.740138175172365,-0.434133464649658,82,lilac_premium_fantail
HepG2,2,0.378781348141389,0.49251730090004,1.30026809217701,0.378809112006375,133,interior_male_hart
HepG2,2,0.213694932188957,0.63214190559591,2.95815113218009,1.56469576172598,81,denim_illegal_tenrec
HepG2,2,0.0772421602188057,0.0506813621730104,0.656136001756607,-0.607933211867764,159,gemstone_whitish_moose
HepG2,2,0.107223327357863,0.409007484203242,3.81453825656947,1.9315084318241,83,trivial_moudly_rasbora
HepG2,3,0.272048881456098,0.129412692927666,0.475696471292238,-1.07188677143284,135,kneedeep_crazy_halcyon
HepG2,3,0.102705189481293,0.321373733647488,3.12908953550029,1.64574294032194,43,dacite_fatherly_grouse
HepG2,3,0.20851921083319,0.678043401520709,3.25170711519298,1.70119731814863,42,agrarian_mopey_pig
HepG2,3,0.211425968632205,0.642907468442596,3.04081600099463,1.60445852189857,79,denim_illegal_tenrec
HepG2,3,0.118400903188239,0.322594718896955,2.72459677426682,1.44604273454641,157,newborn_topazine_wasp
HepG2,3,0.269148478011379,0.12762872832124,0.474194501355657,-1.07644916111198,112,trusting_lazuline_mammal
HepG2,3,0.241807656638413,0.874580709082831,3.61684456663271,1.85473159971707,75,zippered_grownup_eyra
HepG2,3,0.257147464529383,0.316897151673655,1.23235573118958,0.301418763779784,105,binding_lucid_gemsbok
HepG2,3,0.149359067087646,0.0869390362748603,0.582080739857885,-0.780708813036315,89,reserved_kneedeep_duiker
HepG2,3,0.141867203530421,0.641007772277208,4.51836475468239,2.17580074008255,71,boarish_quixotic_redpoll
HepG2,3,0.269457590291293,0.105382122320427,0.391089826812839,-1.35442808629683,22,brown_feudal_tick
HepG2,3,0.250617962852182,0.750186138781158,2.99334544995735,1.58175878407533,48,normal_scarred_seabird
HepG2,3,0.155030670041399,0.261812016114234,1.68877562126462,0.755977657569325,61,skilled_freaky_sunbear
HepG2,3,0.256603310914807,0.553872603029541,2.15847800659684,1.11001439280617,96,frigid_giddying_sambar
HepG2,3,0.285996877867417,0.319127327366008,1.11584199710722,0.158132756443156,92,aromatic_halite_roan
HepG2,3,0.244951135894201,0.144624413952316,0.590421487225852,-0.760182868492289,120,mucky_abasic_redhead
HepG2,3,0.147944380086148,0.0924006627503536,0.624563519726457,-0.679079789772772,79,dacite_culm_bilby
HepG2,3,0.156770269719619,0.0796095210910349,0.50781006649676,-0.977639100569513,82,milky_heavy_cougar
HepG2,3,0.18123933754392,0.133425718910261,0.73618520525616,-0.441859337990763,29,friendly_undyed_mole
HepG2,3,0.205182903459859,0.182667090923654,0.890264675289529,-0.167693782447943,42,trendy_calx_sphinx
HepG2,3,0.196619714534976,0.255016668549412,1.29700457124836,0.375183564328027,128,cultural_lean_gonolek
HepG2,3,0.155894522531182,0.0851510869427295,0.546209613783561,-0.872473387822232,74,unlovely_snotty_antlion
HepG2,3,0.103165492851517,0.0635970948101674,0.616457044427641,-0.697927725726094,67,hoggish_hennish_langur
HepG2,3,0.140418100327863,0.0850291813064479,0.60554288306075,-0.723698963228057,65,expected_sphene_oriole
HepG2,3,0.272667110639787,0.220558543997227,0.808893098546824,-0.305979042895894,157,acrylic_native_minnow
HepG2,3,0.147827428007029,0.282039290027699,1.90789553623491,0.931982181049037,160,stony_dentine_gorilla
HepG2,3,0.0757156423336517,0.0465611805242397,0.61494796965548,-0.701463744753337,161,gemstone_whitish_moose
HepG2,3,0.12740334218989,0.0723433760308891,0.567829499504527,-0.816470293934644,175,comfy_exciting_sponge
HepG2,3,0.11050996876132,0.246716055302815,2.23252307523201,1.15867508703776,127,separate_resident_pygmy
HepG2,3,0.103422495566559,0.110903652607227,1.07233587818284,0.100756859053211,109,baleful_bared_basenji
HepG2,3,0.216547364638623,0.108253644848451,0.49990746841508,-1.00026701442541,126,heroic_voltaic_antbear
HepG2,3,0.254010743135433,0.220785449145623,0.869197288352109,-0.202244421158626,84,windowy_real_joey
HepG2,3,0.200982333605056,0.382461518742766,1.90296088159833,0.928245905014898,104,roseate_shelled_caribou
HepG2,3,0.158031496910204,0.124536607533427,0.788049281113821,-0.343642242622707,127,flimsy_novel_lice
HepG2,3,0.184927404448074,0.151409305172138,0.818749960959155,-0.288505162142626,145,banal_charming_duck
HepG2,3,0.130745336450789,0.228801641096114,1.7499793668146,0.807337912017753,43,hasty_prime_whelp
HepG2,3,0.183311555123578,0.65278775094984,3.56108348167015,1.83231625686913,53,baggy_balanced_cavy
HepG2,3,0.104743972932844,0.394775981300749,3.76896130867461,1.91416698468925,82,trivial_moudly_rasbora
HepG2,3,0.218589591246903,0.594699002363178,2.72061903300533,1.44393495082735,37,nearby_ashy_esok
HepG2,3,0.186858235211838,0.310013652166493,1.65908476987934,0.73038760176101,39,carroty_purply_fox
HepG2,3,0.259074080207901,0.19227028663539,0.742144048069562,-0.430228857817683,50,charming_queasy_hydra
HepG2,3,0.10510526666053,0.0852069603593586,0.81068211961786,-0.30279177150762,143,atomic_decayed_moose
HepG2,3,0.275375555660722,0.927594109681002,3.36846931622301,1.75209315770889,81,phobic_citied_nandoo
HepG2,3,0.107676508979282,0.0939050074087519,0.872103008343447,-0.197429546067028,88,deathly_acardiac_wombat
HepG2,3,0.226556934982771,0.141845915359143,0.626093901605486,-0.675549046002544,76,slippery_crumbly_bats
HepG2,3,0.233993264584966,0.0974487912388062,0.416459813113216,-1.2637508075066,160,foilable_dramatic_duck
HepG2,3,0.233011218855938,0.276943941287419,1.18854337849991,0.249194558564027,94,catching_suffixal_hoiho
HepG2,3,0.222364886432514,0.629033083213292,2.82883279507441,1.5002069053146,21,depleted_rhyolite_nandu
HepG2,3,0.091089230586813,0.0754896980817576,0.828744491477638,-0.271000718976533,82,lilac_premium_fantail
HepG2,3,0.122816798013867,0.438102097022417,3.56711870124599,1.83475922445334,40,grouchy_diagonal_bear
HepG2,3,0.260962785306361,0.273665714101654,1.04867716590463,0.0685706142054137,146,allied_antique_cooter
HepG2,3,0.38502458988552,0.497832142165171,1.29298791620865,0.370708792311887,135,interior_male_hart
HepG2,3,0.125817136335193,0.056066083582981,0.445615638823742,-1.16612823012336,86,sylphic_jazzy_redhead
HepG2,3,0.210539029351099,0.457739190502947,2.17412986045268,1.12043811489871,73,decisive_shapely_rhea
HepG2,3,0.12681971587506,0.135571258108818,1.0690077420011,0.096272301427107,74,teen_probable_anole
HepG2,3,0.196541867362932,0.0898863590020447,0.457339498235568,-1.1286625716581,79,uncheery_knotty_liger
HepG2,3,0.23324537199554,0.132099823899917,0.566355605557064,-0.820219912363389,88,nickelic_binding_owl
HepG2,3,0.207880821249255,0.481924335757601,2.3182722333955,1.21304999115394,207,academic_lunatic_eagle
HepG2,3,0.122684075273111,0.0779145161544932,0.635082556403878,-0.654983950289493,86,aurous_lambskin_manatee
HepG2,3,0.20286312723934,0.081400583851502,0.401258646454093,-1.31739561464733,63,nonfatal_smashed_cock
HepG2,3,0.191597790709114,0.205881996183843,1.07455308029316,0.103736750131248,120,inhumane_cold_hake
HepG2,3,0.176318463539621,0.128472810881334,0.728640712391785,-0.456720487777033,61,bleached_liquid_rhea
HepG2,3,0.242579876108197,0.249967507195514,1.03045442682979,0.0432807012473461,54,godly_marshy_anchovy
HepG2,3,0.215579558598915,0.616480097423209,2.85964078148136,1.5158339318554,36,main_kilted_saiga
HepG2,3,0.237022880348823,1.09842278534818,4.6342478993237,2.21233522019736,68,wired_cork_doe
HepG2,3,0.12873756582935,0.392496048288649,3.04880743829604,1.60824503306714,37,peppery_docile_prawn
HepG2,3,0.157244745750506,0.102741353166193,0.653384967973481,-0.613994830928002,101,alchemic_fumbling_marten
K562,2,0.377558405296207,0.458712685176427,1.21494496941884,0.280890968856129,133,interior_male_hart
K562,2,0.124986210548132,0.0806946314612803,0.645628274570374,-0.63122433366752,77,teen_probable_anole
K562,2,0.199303882756486,0.114557113483315,0.574786160203828,-0.798902770123572,78,uncheery_knotty_liger
K562,2,0.131932876374741,0.0891943873829141,0.676058840175418,-0.564779279245171,36,peppery_docile_prawn
K562,2,0.1428930627106,0.0654280795632003,0.457881427705914,-1.12695404636416,38,grouchy_diagonal_bear
K562,2,0.17537431250908,0.555251858608354,3.16609571073647,1.66270486865189,150,banal_charming_duck
K562,2,0.215710453561591,0.7016415423474,3.25270069559731,1.70163807573176,37,nearby_ashy_esok
K562,2,0.199959849147555,0.278832665738505,1.39444326912223,0.479689241629849,103,roseate_shelled_caribou
K562,2,0.131365149803315,0.0815282336601596,0.62062300223634,-0.688210926223574,89,reserved_kneedeep_duiker
K562,2,0.128452324285946,0.0849246328842035,0.661137378060624,-0.596978013693153,85,aurous_lambskin_manatee
K562,2,0.180203115563345,0.194856716953676,1.08131713674607,0.112789709483417,43,trendy_calx_sphinx
K562,2,0.206688484505573,0.0969644139126628,0.469133121492544,-1.09193073405308,39,agrarian_mopey_pig
K562,2,0.183409576694365,0.0961184967747036,0.524064765357787,-0.932182979905774,60,bleached_liquid_rhea
K562,2,0.149650121643479,0.0909969576401207,0.60806470880731,-0.717703234856793,83,milky_heavy_cougar
K562,2,0.242771457104878,0.108843793909834,0.448338512310419,-1.1573396625681,158,foilable_dramatic_duck
K562,2,0.248866125085288,0.260708073310668,1.04758360834092,0.0670653909654446,85,windowy_real_joey
K562,2,0.150703673157957,0.375647812993463,2.49262546241812,1.31766612225761,153,stony_dentine_gorilla
K562,2,0.133921548899909,0.0861905901445891,0.643590152985809,-0.63578584208147,64,expected_sphene_oriole
K562,2,0.199566003425507,0.115420760571383,0.578358831615662,-0.789963231978914,61,nonfatal_smashed_cock
K562,2,0.226019882391036,0.131737345383144,0.582857330910498,-0.778785304388971,197,academic_lunatic_eagle
K562,2,0.14382379053703,0.0949109462246242,0.659911311405658,-0.599655947981117,102,alchemic_fumbling_marten
K562,2,0.227658740302446,0.155163682018668,0.681562595894769,-0.553081932149072,21,depleted_rhyolite_nandu
K562,2,0.126662340144485,0.342746206422928,2.70598353095288,1.43615305886918,44,hasty_prime_whelp
K562,2,0.220935088817399,1.02570543589051,4.64256466177828,2.21492200419994,96,catching_suffixal_hoiho
K562,2,0.254901327373308,0.136635639487817,0.53603345614482,-0.899605046614925,103,binding_lucid_gemsbok
K562,2,0.264267562118763,0.839468056812891,3.17658380045763,1.66747607892461,92,frigid_giddying_sambar
K562,2,0.0962396405181971,0.325239867885832,3.37947924716464,1.75680095496484,111,baleful_bared_basenji
K562,2,0.111213340138811,0.106760576721746,0.95996196668936,-0.0589508469239933,144,atomic_decayed_moose
K562,2,0.27492371059592,0.14344664362613,0.521768905690955,-0.938517124174148,110,trusting_lazuline_mammal
K562,2,0.106820962250564,0.0977059321477124,0.914670024395855,-0.128676723105813,90,deathly_acardiac_wombat
K562,2,0.104600774208505,0.358389121232384,3.42625686993475,1.7766333157795,127,separate_resident_pygmy
K562,2,0.192200213210486,0.235366611548686,1.22459079320025,0.292299741679624,129,cultural_lean_gonolek
K562,2,0.0732928448715751,0.0519968058717358,28.3775618003888,-0.495249361609238,158,gemstone_whitish_moose
K562,2,0.257694774162413,0.124518092099326,0.483199911616555,-1.04930790411172,48,normal_scarred_seabird
K562,2,0.268685207533274,0.203417831836913,0.757086084881402,-0.401470742932048,157,acrylic_native_minnow
K562,2,0.152371032946088,0.0831123547822824,0.545460335703632,-0.874453803130748,69,boarish_quixotic_redpoll
K562,2,0.111603990411037,0.0545038688659813,0.488368459454215,-1.03395806585267,66,hoggish_hennish_langur
K562,2,0.212755108965464,0.0988923613237918,0.464817798287725,-1.10526278300847,49,baggy_balanced_cavy
K562,2,0.151235476467492,0.12862202958034,0.850475249489407,-0.23365884366474,81,dacite_culm_bilby
K562,2,0.187994816111724,0.346463490647,1.84294172473936,0.882010452542824,39,carroty_purply_fox
K562,2,0.246113705478764,0.80751174246088,3.28105149971243,1.71415823871968,53,charming_queasy_hydra
K562,2,0.262539460953807,0.848346169014677,3.23130917513364,1.6921187958191,137,kneedeep_crazy_halcyon
K562,2,0.256773407372111,0.131455442405878,0.511951154721311,-0.965921925683466,114,mucky_abasic_redhead
K562,2,0.22280324201833,0.88547133962623,3.9742300498185,1.99067538595605,76,slippery_crumbly_bats
K562,2,0.194865138683823,0.165751134893441,0.850594087854674,-0.233457267495265,116,inhumane_cold_hake
K562,2,0.206531724183612,0.476316419220098,2.30626273567852,1.20555687806713,35,main_kilted_saiga
K562,2,0.191874634080259,0.116432902476024,0.606817587088252,-0.720665195793324,29,friendly_undyed_mole
K562,2,0.157224332514,0.122753545753294,0.780754122408902,-0.357059813141446,124,flimsy_novel_lice
K562,2,0.0913841422340805,0.078097334969529,0.854604891617658,-0.226670520095883,43,dacite_fatherly_grouse
K562,2,0.242549018705404,0.131895838198912,0.543790442455305,-0.878877299801826,72,zippered_grownup_eyra
K562,2,0.289490675580882,0.524120327478173,1.81049122368619,0.856381183400613,78,phobic_citied_nandoo
K562,2,0.126975860788407,0.0740491912232925,0.583175343435463,-0.777998370859275,84,sylphic_jazzy_redhead
K562,2,0.257478828820936,0.636151765253032,2.4706954283043,1.30491717531367,63,wired_cork_doe
K562,2,0.276939581377667,0.294862545231489,1.06471795676393,0.0904713118902272,142,allied_antique_cooter
K562,2,0.319377622984271,0.134844156356919,0.422209155096506,-1.2439702327605,90,aromatic_halite_roan
K562,2,0.208913275228789,0.101282667163834,0.484807234259841,-1.04451686812079,129,heroic_voltaic_antbear
K562,2,0.233292950575525,0.436218353316365,1.86983083818105,0.902907756767241,55,godly_marshy_anchovy
K562,2,0.118092775877284,0.144351037100506,1.2223528156414,0.289660759715035,80,trivial_moudly_rasbora
K562,2,0.163287718973798,0.328885146604353,2.01414502371197,1.01016756490255,60,skilled_freaky_sunbear
K562,2,0.120140721284269,0.468779321193397,3.90191865158028,1.9641837005033,160,newborn_topazine_wasp
